seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
27,Edgar,Conner,23,Dohap Junction,Zuceak,KS,00680,$789.85,GREEN,12/06/1982
28,Janie,Nunez,64,Veawo Trail,Jedkufoc,SC,29958,$9658.76,BLUE,10/29/1997
29,Maria,Newton,21,Cefzus Circle,Nupsorof,ND,56419,$5964.43,YELLOW,07/02/2005
30,Ina,Goodwin,61,Hete Key,Vugobuc,NY,50311,$8976.05,RED,07/06/2046
31,Hannah,Patterson,31,Nogic Plaza,Fihodwov,WA,59588,$6124.02,RED,06/17/1972
32,Stella,Cortez,40,Vocu Point,Neguppu,KS,25176,$8682.74,RED,11/05/2045
33,Johanna,Simpson,49,Siwto Street,Coglade,NJ,41126,$4916.39,GREEN,09/05/2005
34,Hester,Robbins,34,Ologan Court,Eperigu,AL,90521,$8932.31,WHITE,05/25/2008
35,Jeff,McBride,60,View Glen,Molcitsun,MT,05487,$7706.64,BLUE,01/19/1924
36,Florence,Valdez,22,Vaaze Parkway,Ibgabav,KY,50781,$4456.28,GREEN,09/05/2049
37,Jerry,Wagner,34,Zazdu Court,Desitag,UT,58318,$9269.79,YELLOW,11/10/2070
38,Jerry,Black,53,Sedot Park,Reboclop,AK,36709,$9060.25,WHITE,07/12/1977
39,Elnora,Parker,30,Zaril Street,Deklosed,VA,46837,$2099.30,YELLOW,05/04/2028
40,Juan,Gomez,22,Osgaz Avenue,Ewhasi,WY,98960,$1114.72,YELLOW,06/24/2001
41,Lela,Fernandez,44,Inmu Place,Gumpaopu,CT,34328,$7784.88,BLUE,03/01/1950
42,Ricardo,Buchanan,24,Korez View,Lokiku,KS,26542,$7995.08,RED,11/01/2017
43,Caroline,Wheeler,34,Igeege Extension,Guagvos,RI,58898,$5352.84,RED,03/10/2001
44,Bernard,Hammond,55,Zaftu View,Paskopwe,CO,96888,$3959.93,BLUE,07/11/1935
45,Ora,Cain,55,Kewih Circle,Heciine,IL,70989,$2603.95,GREEN,04/29/2017
46,Wayne,Grant,18,Jejuhe Way,Zervigev,IL,67957,$2019.14,GREEN,01/18/1940
47,Eva,Harmon,48,Ewfam Ridge,Acbilade,CT,70093,$1385.15,WHITE,06/29/1960
48,Miguel,Carter,50,Oreza Pass,Getcepihu,WI,33809,$2567.32,GREEN,11/10/1907
49,Ola,Reyes,64,Muhu Boulevard,Nakonic,NJ,80971,$9910.28,GREEN,04/06/1994
50,Nina,Fernandez,55,Rizlup Grove,Becobo,KS,92195,$5552.62,YELLOW,08/30/2018
51,Ronald,Klein,24,Peviw Center,Uwjagef,AZ,77361,$579.25,WHITE,02/06/1916
52,Ellen,Knight,59,Rije Manor,Cuijoru,WA,29462,$3704.52,YELLOW,10/07/1944
53,Gabriel,Banks,49,Notu Lane,Lawnutga,IA,30913,$8015.21,GREEN,07/02/2025
54,Ernest,Hammond,21,Bikiv Ridge,Mutarzi,CO,68140,$6663.82,GREEN,11/09/2043
55,Lida,Copeland,25,Leez Path,Ozimeage,PA,68155,$9284.05,GREEN,06/19/2051
56,Don,Harrison,28,Imucop River,Uhounovur,ME,37184,$5587.86,GREEN,02/11/1985
57,Winnie,Byrd,22,Mamkab Highway,Sigwotem,ME,13771,$1164.28,GREEN,04/02/2067
58,Henry,Glover,60,Umpuf Highway,Naibiuvu,DE,02195,$9111.89,BLUE,07/01/2058
59,Bertie,Sandoval,51,Bozoj Parkway,Sicsoltu,NV,38696,$742.25,YELLOW,01/28/2056
60,Rebecca,Tucker,52,Kauju Drive,Fukihci,MS,33198,$3450.54,YELLOW,03/20/2060
61,Bradley,Tran,43,Zomzi Pass,Mewucdon,TX,26375,$7586.71,BLUE,04/23/2061
62,Ethel,Hunter,61,Bamwih Extension,Ipobecka,FL,69448,$8170.17,BLUE,08/23/2031
63,Ralph,Clark,48,Zafec Drive,Heutovi,OH,88515,$4164.54,RED,07/20/1999
64,Steven,Schwartz,52,Sugrab Path,Vuabco,MA,78660,$1973.82,GREEN,10/17/2038
65,Gilbert,Jefferson,63,Kinwa Loop,Dusbowkec,WI,54516,$2493.91,BLUE,12/01/2047
66,Mattie,Patterson,51,Cirim Loop,Nabeow,ND,07570,$7552.43,GREEN,01/03/1933
67,Elmer,Wagner,57,Visav Turnpike,Bocebpuk,PA,31810,$1446.45,BLUE,08/30/2054
68,Richard,Cortez,40,Zufovi Trail,Bufewu,IN,57970,$9979.04,BLUE,09/07/1999
69,Lela,Thornton,61,Hopgas River,Howzahi,MD,96908,$7759.50,BLUE,03/31/1916
70,Mary,Norton,53,Ijna Grove,Bovokzo,WV,56409,$9531.89,GREEN,07/29/1964
71,Mason,Newton,65,Cemamu Court,Cupouf,CO,61980,$7353.11,YELLOW,12/08/1964
72,William,Swanson,35,Huhepi Lane,Kevessa,CT,27956,$839.12,RED,01/13/2048
73,Elizabeth,Sparks,19,Hemi Extension,Fewpiwda,VT,57899,$4013.52,BLUE,09/13/1989
74,Marc,Murphy,36,Moro Turnpike,Pumeprow,OK,13468,$7192.46,YELLOW,01/25/1978
75,Mayme,White,52,Ajoili Loop,Ajeska,CT,21981,$7841.13,BLUE,04/10/1905
76,Cornelia,Jennings,49,Nahvel Manor,Cafoca,MO,59870,$7154.41,WHITE,12/14/2058
77,Danny,Bradley,58,Cewi Ridge,Covowa,MI,99559,$3317.40,GREEN,08/31/2069
78,Mildred,Kennedy,40,Pefi Ridge,Wurokom,IA,13130,$2573.71,RED,05/03/1995
79,Chase,Rowe,55,Nahlum Street,Ubumithaf,AZ,33189,$541.09,GREEN,08/24/2004
80,Herman,Jennings,39,Jewfu Key,Pogisa,TX,40965,$2218.53,WHITE,12/30/1955
81,Jesus,Olson,55,Revo Pike,Cofrespo,HI,36218,$755.27,WHITE,08/25/1998
82,Kenneth,Sharp,44,Fafkat Glen,Dosriboru,IN,52703,$2622.31,GREEN,10/28/2049
83,Noah,Hubbard,19,Mube Court,Haztepju,UT,56091,$5420.80,GREEN,03/19/2023
84,Ida,Gibbs,46,Akula View,Icpuzzeg,ME,20736,$9127.16,RED,11/26/1984
85,Bettie,Robertson,42,Wobi River,Liijdet,GA,45305,$4391.99,WHITE,07/16/2065
86,Sara,Elliott,47,Gudra Key,Mepokhi,NJ,89177,$3550.46,RED,04/22/1950
87,Howard,Adams,36,Raka Street,Doksade,CO,97362,$8704.74,WHITE,07/08/2030
88,Zachary,Leonard,38,Naden Drive,Balezha,ME,82910,$7586.25,RED,01/23/2063
89,Janie,Armstrong,63,Jogu Key,Othufzec,IN,76270,$5428.30,WHITE,12/06/2065
90,Minerva,Hamilton,32,Masnon Path,Awuuramel,HI,98730,$4374.50,WHITE,06/11/1975
91,Ada,Burton,27,Huglim Mill,Ujihuzgo,KY,90319,$1236.84,WHITE,04/12/1902
92,Thomas,Malone,31,Pubgu Drive,Wohidusam,IA,43955,$2102.48,BLUE,11/09/2008
93,Mason,Tyler,40,Deri View,Belvuhiwa,WI,44484,$9492.47,GREEN,06/12/1933
94,Mildred,Barker,22,Vouva Way,Dumohif,MD,58567,$4075.14,RED,08/05/2068
95,Lloyd,Drake,59,Izka Drive,Cujtawob,WA,27900,$4076.04,GREEN,04/29/2023
96,Harriett,Jennings,62,Titta Park,Ukzuec,NM,91723,$589.49,GREEN,09/23/1905
97,Warren,Mann,64,Oheja Grove,Pucueb,HI,79663,$9274.05,YELLOW,06/11/2000
98,Angel,Montgomery,38,Ojduh Pass,Avaagep,GA,95865,$8300.05,YELLOW,10/27/1928
99,Fred,Alvarez,42,Sacel Terrace,Metjekva,PA,01749,$6644.72,GREEN,09/23/1941
100,Earl,Matthews,47,Souhe River,Tiduvew,MI,71982,$4178.68,RED,01/28/2038
